AREA_NAME,YEAR,CATEGORY,AUTO_THEFT_COORDINATED,AUTO_THEFT_RECOVERED,AUTO_THEFT_STOLEN
ANDAMAN & NICOBAR ISLANDS,2001, CYCLES/ SCOOTERS,0,4,4
ANDHRA PRADESH,2001, CYCLES/ SCOOTERS,136,1311,2725
ARUNACHAL PRADESH,2001, CYCLES/ SCOOTERS,0,21,27
ASSAM,2001, CYCLES/ SCOOTERS,0,94,205
BIHAR,2001, CYCLES/ SCOOTERS,44,205,946
CHANDIGARH,2001, CYCLES/ SCOOTERS,0,107,281
CHHATTISGARH,2001, CYCLES/ SCOOTERS,0,338,790
DADRA & NAGAR HAVELI,2001, CYCLES/ SCOOTERS,0,4,12
DELHI,2001, CYCLES/ SCOOTERS,62,688,3185
GOA,2001, CYCLES/ SCOOTERS,9,68,152
GUJARAT,2001, CYCLES/ SCOOTERS,401,1345,4830
HARYANA,2001, CYCLES/ SCOOTERS,34,882,1967
HIMACHAL PRADESH,2001, CYCLES/ SCOOTERS,7,31,47
JAMMU & KASHMIR,2001, CYCLES/ SCOOTERS,1,81,460
JHARKHAND,2001, CYCLES/ SCOOTERS,10,38,211
KARNATAKA,2001, CYCLES/ SCOOTERS,183,993,3087
KERALA,2001, CYCLES/ SCOOTERS,47,300,1038
MADHYA PRADESH,2001, CYCLES/ SCOOTERS,0,1063,3756
MAHARASHTRA,2001, CYCLES/ SCOOTERS,653,1968,6244
MANIPUR,2001, CYCLES/ SCOOTERS,0,5,57
MEGHALAYA,2001, CYCLES/ SCOOTERS,0,5,22
MIZORAM,2001, CYCLES/ SCOOTERS,2,11,11
NAGALAND,2001, CYCLES/ SCOOTERS,0,15,53
ODISHA,2001, CYCLES/ SCOOTERS,22,222,778
PUDUCHERRY,2001, CYCLES/ SCOOTERS,136,136,281
PUNJAB,2001, CYCLES/ SCOOTERS,123,229,609
RAJASTHAN,2001, CYCLES/ SCOOTERS,58,628,3273
SIKKIM,2001, CYCLES/ SCOOTERS,2,2,2
TAMIL NADU,2001, CYCLES/ SCOOTERS,0,2523,3858
TRIPURA,2001, CYCLES/ SCOOTERS,0,3,10
UTTAR PRADESH,2001, CYCLES/ SCOOTERS,15,727,4046
UTTARAKHAND,2001, CYCLES/ SCOOTERS,0,60,236
WEST BENGAL,2001, CYCLES/ SCOOTERS,14,461,1904
ANDHRA PRADESH,2001, CAR/TAXI/JEEP,31,124,309
ARUNACHAL PRADESH,2001, CAR/TAXI/JEEP,0,6,9
ASSAM,2001, CAR/TAXI/JEEP,0,4,15
BIHAR,2001, CAR/TAXI/JEEP,7,43,175
CHANDIGARH,2001, CAR/TAXI/JEEP,0,90,206
CHHATTISGARH,2001, CAR/TAXI/JEEP,3,47,105
DADRA & NAGAR HAVELI,2001, CAR/TAXI/JEEP,0,1,2
DELHI,2001, CAR/TAXI/JEEP,113,1151,4075
GOA,2001, CAR/TAXI/JEEP,2,16,23
GUJARAT,2001, CAR/TAXI/JEEP,36,130,460
HARYANA,2001, CAR/TAXI/JEEP,32,457,843
