AREA_NAME,YEAR,CATEGORY,POLICE_INJURED_BY_CRIMINALS,POLICE_INJURED_BY_RIOTOUS_MOBS,POLICE_INJURED_IN_ACCIDENTS,POLICE_INJURED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_INJURED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_INJURED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_INJURED,POLICE_KILLED_BY_CRIMINALS,POLICE_KILLED_BY_RIOTOUS_MOBS,POLICE_KILLED_IN_ACCIDENTS,POLICE_KILLED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_KILLED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_KILLED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_KILLED
ANDAMAN & NICOBAR ISLANDS,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001, ASSISTANT SUB-INSPECTOS,0,3,4,1,3,0,11,0,0,2,0,3,0,5
ARUNACHAL PRADESH,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,1,0,1,0,0,1,0,0,0,1
BIHAR,2001, ASSISTANT SUB-INSPECTOS,1,0,0,0,2,0,3,0,0,0,0,2,0,2
CHANDIGARH,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,1,0,1,0,2
DADRA & NAGAR HAVELI,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2001, ASSISTANT SUB-INSPECTOS,1,6,4,0,1,0,12,0,0,0,0,2,0,2
GOA,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2001, ASSISTANT SUB-INSPECTOS,2,5,17,0,0,0,24,0,0,8,0,0,0,8
HARYANA,2001, ASSISTANT SUB-INSPECTOS,0,1,1,0,0,0,2,0,0,3,0,0,0,3
HIMACHAL PRADESH,2001, ASSISTANT SUB-INSPECTOS,0,3,0,0,0,0,3,0,0,0,0,0,0,0
JAMMU & KASHMIR,2001, ASSISTANT SUB-INSPECTOS,0,1,1,0,13,0,15,1,0,2,0,7,0,10
JHARKHAND,2001, ASSISTANT SUB-INSPECTOS,0,0,1,0,0,0,1,0,1,0,0,0,0,1
KARNATAKA,2001, ASSISTANT SUB-INSPECTOS,1,15,1,1,0,0,18,0,0,1,0,0,0,1
KERALA,2001, ASSISTANT SUB-INSPECTOS,6,16,2,0,0,0,24,0,0,1,0,0,0,1
LAKSHADWEEP,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2001, ASSISTANT SUB-INSPECTOS,5,7,0,0,0,0,12,0,0,1,0,0,0,1
MAHARASHTRA,2001, ASSISTANT SUB-INSPECTOS,4,27,1,2,0,0,34,0,0,9,0,0,0,9
MANIPUR,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2001, ASSISTANT SUB-INSPECTOS,0,0,0,1,0,0,1,1,0,0,1,1,0,3
MIZORAM,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2001, ASSISTANT SUB-INSPECTOS,2,1,1,4,0,0,8,0,0,0,0,0,0,0
PUDUCHERRY,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,1,0,4,0,0,0,5
RAJASTHAN,2001, ASSISTANT SUB-INSPECTOS,2,3,2,0,0,0,7,0,0,1,0,0,0,1
SIKKIM,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UTTAR PRADESH,2001, ASSISTANT SUB-INSPECTOS,0,2,0,0,0,0,2,0,0,0,0,0,0,0
UTTARAKHAND,2001, ASSISTANT SUB-INSPECTOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2001, ASSISTANT SUB-INSPECTOS,4,12,7,7,0,0,30,0,0,1,0,0,0,1
ANDAMAN & NICOBAR ISLANDS,2001, CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001, CONSTABLES,8,75,55,21,29,0,188,0,1,24,4,19,0,48
ARUNACHAL PRADESH,2001, CONSTABLES,0,3,0,0,0,0,3,0,0,0,0,0,0,0
ASSAM,2001, CONSTABLES,0,3,5,3,32,0,43,4,0,3,8,9,0,24
BIHAR,2001, CONSTABLES,0,13,0,1,3,0,17,2,0,0,1,4,0,7
CHANDIGARH,2001, CONSTABLES,3,0,10,0,0,0,13,0,0,2,0,0,0,2
CHHATTISGARH,2001, CONSTABLES,0,0,4,0,11,0,15,0,0,3,0,7,0,10
DADRA & NAGAR HAVELI,2001, CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2001, CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2001, CONSTABLES,39,72,31,4,8,1,155,2,0,27,0,1,0,30
GOA,2001, CONSTABLES,0,2,6,0,0,0,8,0,0,0,0,0,0,0
GUJARAT,2001, CONSTABLES,14,8,18,0,0,1,41,2,0,16,0,0,0,18
HARYANA,2001, CONSTABLES,2,2,11,0,0,0,15,1,0,8,0,0,0,9
HIMACHAL PRADESH,2001, CONSTABLES,0,4,2,0,0,0,6,0,0,1,0,0,0,1
JAMMU & KASHMIR,2001, CONSTABLES,22,39,25,0,224,0,310,6,0,9,0,101,0,116
JHARKHAND,2001, CONSTABLES,0,0,2,3,20,0,25,9,0,3,2,18,0,32
