AREA_NAME,YEAR,RAPE_CASES_REPORTED,VICTIMS_BETWEEN_10-14_YRS,VICTIMS_BETWEEN_14-18_YRS,VICTIMS_BETWEEN_18-30_YRS,VICTIMS_BETWEEN_30-50_YRS,VICTIMS_ABOVE_50_YRS,VICTIMS_OF_RAPE_TOTAL
ANDAMAN & NICOBAR ISLANDS,2001,3,0,3,0,0,0,3
ANDAMAN & NICOBAR ISLANDS,2001,1,0,1,0,0,0,1
ANDAMAN & NICOBAR ISLANDS,2001,2,0,2,0,0,0,2
ANDHRA PRADESH,2001,871,138,254,328,80,14,814
ANDHRA PRADESH,2001,4,2,0,2,0,0,4
ANDHRA PRADESH,2001,867,136,254,326,80,14,810
ARUNACHAL PRADESH,2001,33,0,1,28,4,0,33
ARUNACHAL PRADESH,2001,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2001,33,0,1,28,4,0,33
ASSAM,2001,817,73,245,370,119,2,809
ASSAM,2001,8,1,7,0,0,0,8
ASSAM,2001,809,72,238,370,119,2,801
BIHAR,2001,888,15,198,562,112,0,887
BIHAR,2001,8,2,5,1,0,0,8
BIHAR,2001,880,13,193,561,112,0,879
CHANDIGARH,2001,18,8,4,4,3,0,19
CHANDIGARH,2001,2,0,0,2,0,0,2
CHANDIGARH,2001,16,8,4,2,3,0,17
CHHATTISGARH,2001,959,191,218,384,137,4,934
CHHATTISGARH,2001,6,3,1,1,1,0,6
CHHATTISGARH,2001,953,188,217,383,136,4,928
DADRA & NAGAR HAVELI,2001,6,0,3,3,0,0,6
DADRA & NAGAR HAVELI,2001,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,2001,6,0,3,3,0,0,6
DAMAN & DIU,2001,0,0,0,0,0,0,0
DAMAN & DIU,2001,0,0,0,0,0,0,0
DAMAN & DIU,2001,0,0,0,0,0,0,0
DELHI,2001,381,81,154,59,41,0,335
DELHI,2001,9,3,2,1,0,0,6
DELHI,2001,372,78,152,58,41,0,329
GOA,2001,12,7,1,0,1,0,9
GOA,2001,0,0,0,0,0,0,0
GOA,2001,12,7,1,0,1,0,9
GUJARAT,2001,286,23,87,125,36,0,271
GUJARAT,2001,2,0,2,0,0,0,2
GUJARAT,2001,284,23,85,125,36,0,269
HARYANA,2001,398,62,125,134,40,3,364
HARYANA,2001,0,0,0,0,0,0,0
HARYANA,2001,398,62,125,134,40,3,364
HIMACHAL PRADESH,2001,124,15,43,35,9,2,104
HIMACHAL PRADESH,2001,0,0,0,0,0,0,0
HIMACHAL PRADESH,2001,124,15,43,35,9,2,104
JAMMU & KASHMIR,2001,169,24,41,84,20,0,169
JAMMU & KASHMIR,2001,2,0,1,1,0,0,2
JAMMU & KASHMIR,2001,167,24,40,83,20,0,167
JHARKHAND,2001,567,3,4,478,73,0,558
JHARKHAND,2001,12,3,4,2,2,0,11
JHARKHAND,2001,555,0,0,476,71,0,547
KARNATAKA,2001,293,63,62,123,21,0,269
KARNATAKA,2001,5,0,1,1,0,0,2
KARNATAKA,2001,288,63,61,122,21,0,267
KERALA,2001,562,46,126,306,64,1,543
KERALA,2001,4,0,1,1,0,1,3
KERALA,2001,558,46,125,305,64,0,540
LAKSHADWEEP,2001,0,0,0,0,0,0,0
LAKSHADWEEP,2001,0,0,0,0,0,0,0
LAKSHADWEEP,2001,0,0,0,0,0,0,0
MADHYA PRADESH,2001,2851,304,557,1250,627,27,2765
MADHYA PRADESH,2001,301,39,66,130,56,0,291
MADHYA PRADESH,2001,2550,265,491,1120,571,27,2474
MAHARASHTRA,2001,1302,152,419,503,135,4,1213
MAHARASHTRA,2001,20,5,6,4,4,0,19
MAHARASHTRA,2001,1282,147,413,499,131,4,1194
MANIPUR,2001,20,1,4,9,2,1,17
MANIPUR,2001,2,0,0,0,0,0,0
MANIPUR,2001,18,1,4,9,2,1,17
MEGHALAYA,2001,26,2,4,14,3,0,23
MEGHALAYA,2001,5,0,1,1,2,0,4
MEGHALAYA,2001,21,2,3,13,1,0,19
MIZORAM,2001,52,0,30,14,8,0,52
MIZORAM,2001,0,0,0,0,0,0,0
MIZORAM,2001,52,0,30,14,8,0,52
NAGALAND,2001,17,0,8,6,3,0,17
NAGALAND,2001,1,0,0,0,1,0,1
NAGALAND,2001,16,0,8,6,2,0,16
ODISHA,2001,790,9,297,402,74,0,782
ODISHA,2001,4,0,3,1,0,0,4
ODISHA,2001,786,9,294,401,74,0,778
PUDUCHERRY,2001,9,2,2,1,1,0,6
PUDUCHERRY,2001,0,0,0,0,0,0,0
PUDUCHERRY,2001,9,2,2,1,1,0,6
PUNJAB,2001,298,30,137,98,24,1,290
PUNJAB,2001,0,0,0,0,0,0,0
PUNJAB,2001,298,30,137,98,24,1,290
RAJASTHAN,2001,1049,44,229,606,147,7,1033
RAJASTHAN,2001,18,1,7,8,1,0,17
RAJASTHAN,2001,1031,43,222,598,146,7,1016
SIKKIM,2001,8,0,4,2,1,0,7
SIKKIM,2001,1,0,0,0,0,0,0
SIKKIM,2001,7,0,4,2,1,0,7
TAMIL NADU,2001,423,15,174,192,34,2,417
TAMIL NADU,2001,21,2,4,13,2,0,21
TAMIL NADU,2001,402,13,170,179,32,2,396
TRIPURA,2001,102,0,50,47,5,0,102
TRIPURA,2001,0,0,0,0,0,0,0
TRIPURA,2001,102,0,50,47,5,0,102
UTTAR PRADESH,2001,1958,122,406,1082,314,0,1924
UTTAR PRADESH,2001,3,2,0,1,0,0,3
UTTAR PRADESH,2001,1955,120,406,1081,314,0,1921
UTTARAKHAND,2001,74,7,16,38,7,0,68
UTTARAKHAND,2001,0,0,0,0,0,0,0
UTTARAKHAND,2001,74,7,16,38,7,0,68
WEST BENGAL,2001,709,3,5,594,103,0,705
WEST BENGAL,2001,0,0,0,0,0,0,0
WEST BENGAL,2001,709,3,5,594,103,0,705
ANDAMAN & NICOBAR ISLANDS,2002,2,0,1,1,0,0,2
ANDAMAN & NICOBAR ISLANDS,2002,0,0,0,0,0,0,0
ANDAMAN & NICOBAR ISLANDS,2002,2,0,1,1,0,0,2
ANDHRA PRADESH,2002,1002,67,35,709,148,8,967
ANDHRA PRADESH,2002,5,2,0,3,0,0,5
ANDHRA PRADESH,2002,997,65,35,706,148,8,962
ARUNACHAL PRADESH,2002,38,0,3,30,5,0,38
ARUNACHAL PRADESH,2002,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2002,38,0,3,30,5,0,38
ASSAM,2002,970,0,3,621,346,0,970
ASSAM,2002,10,0,0,5,5,0,10
ASSAM,2002,960,0,3,616,341,0,960
BIHAR,2002,1040,2,2,805,231,0,1040
BIHAR,2002,3,0,1,2,0,0,3
BIHAR,2002,1037,2,1,803,231,0,1037
CHANDIGARH,2002,18,4,1,9,3,0,17
CHANDIGARH,2002,2,0,1,1,0,0,2
CHANDIGARH,2002,16,4,0,8,3,0,15
CHHATTISGARH,2002,992,131,25,652,147,11,966
CHHATTISGARH,2002,63,13,18,16,11,3,61
CHHATTISGARH,2002,929,118,7,636,136,8,905
DADRA & NAGAR HAVELI,2002,4,1,1,1,0,0,3
DADRA & NAGAR HAVELI,2002,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,2002,4,1,1,1,0,0,3
DAMAN & DIU,2002,0,0,0,0,0,0,0
